ARRECADADO;NUM_ID_PARQ;ENDERECO;NUM_SERIAL;EMISSAO;VALIDADE;METODO_PAGAMENTO;
R$ 2,25;01234;Av. Ipiranga, 1234;00001;11/05/2016 15:27;11/05/2016 16:17;Moedas;
R$ 3,50;01234;Av. Ipiranga, 1234;00002;11/05/2016 15:27;11/05/2016 16:17;Moedas;
R$ 6,50;01234;Av. Ipiranga, 1234;00003;11/05/2016 15:27;11/05/2016 17:27;Moedas;
R$ 9,50;01234;Av. Ipiranga, 1234;00004;11/05/2016 15:28;11/05/2016 17:28;Cartão;
R$ 11,75;01234;Av. Ipiranga, 1234;00005;11/05/2016 15:28;11/05/2016 16:58;Cartão;
R$ 13,50;01234;Av. Ipiranga, 1234;00006;11/05/2016 15:28;11/05/2016 16:38;Cartão;
R$ 15,50;01234;Av. Ipiranga, 1234;00007;14/05/2016 14:30;14/05/2016 15:50;Cartão;
R$ 17,25;01234;Av. Ipiranga, 1234;00008;14/05/2016 14:30;14/05/2016 15:40;Cartão;
R$ 19,25;01234;Av. Ipiranga, 1234;00009;14/05/2016 14:31;14/05/2016 15:51;Cartão;
R$ 20,25;01234;Av. Ipiranga, 1234;00010;14/05/2016 14:31;14/05/2016 15:11;Cartão;
R$ 21,75;01234;Av. Ipiranga, 1234;00011;14/05/2016 14:31;14/05/2016 15:31;Cartão;
R$ 23,25;01234;Av. Ipiranga, 1234;00012;14/05/2016 14:31;14/05/2016 15:31;Moedas;
R$ 24,50;01234;Av. Ipiranga, 1234;00013;14/05/2016 14:31;14/05/2016 15:21;Moedas;
R$ 26,00;01234;Av. Ipiranga, 1234;00014;14/05/2016 14:31;14/05/2016 15:31;Moedas;
R$ 28,25;01234;Av. Ipiranga, 1234;00015;14/05/2016 14:32;14/05/2016 16:02;Moedas;
R$ 29,50;01234;Av. Ipiranga, 1234;00016;14/05/2016 14:32;14/05/2016 15:22;Moedas;
R$ 31,00;01234;Av. Ipiranga, 1234;00017;14/05/2016 15:32;14/05/2016 16:32;Moedas;
R$ 33,25;01234;Av. Ipiranga, 1234;00018;14/05/2016 15:33;14/05/2016 17:03;Moedas;
R$ 34,00;01234;Av. Ipiranga, 1234;00019;14/05/2016 15:33;14/05/2016 16:03;Moedas;
R$ 36,75;01234;Av. Ipiranga, 1234;00020;14/05/2016 15:33;14/05/2016 17:23;Moedas;
R$ 39,50;01234;Av. Ipiranga, 1234;00021;16/05/2016 15:33;16/05/2016 17:23;Moedas;
R$ 41,75;01234;Av. Ipiranga, 1234;00022;16/05/2016 15:33;16/05/2016 17:03;Moedas;
R$ 44,25;01234;Av. Ipiranga, 1234;00023;16/05/2016 15:34;16/05/2016 17:14;Moedas;
R$ 46,75;01234;Av. Ipiranga, 1234;00024;16/05/2016 15:34;16/05/2016 17:14;Moedas;
R$ 48,50;01234;Av. Ipiranga, 1234;00025;16/05/2016 16:35;16/05/2016 17:45;Moedas;
R$ 50,00;01234;Av. Ipiranga, 1234;00026;16/05/2016 16:35;16/05/2016 17:35;Moedas;
R$ 51,50;01234;Av. Ipiranga, 1234;00027;16/05/2016 16:36;16/05/2016 17:36;Moedas;
R$ 52,75;01234;Av. Ipiranga, 1234;00028;18/05/2016 16:36;18/05/2016 17:26;Moedas;
R$ 54,00;01234;Av. Ipiranga, 1234;00029;18/05/2016 16:36;18/05/2016 17:26;Cartão;
R$ 55,50;01234;Av. Ipiranga, 1234;00030;18/05/2016 16:36;18/05/2016 17:36;Cartão;
R$ 56,75;01234;Av. Ipiranga, 1234;00031;18/05/2016 16:36;18/05/2016 17:26;Cartão;
R$ 58,50;01234;Av. Ipiranga, 1234;00032;18/05/2016 17:37;18/05/2016 18:47;Cartão;
R$ 60,75;01234;Av. Ipiranga, 1234;00033;18/05/2016 17:37;18/05/2016 19:07;Cartão;
R$ 62,25;01234;Av. Ipiranga, 1234;00034;18/05/2016 17:37;18/05/2016 18:37;Cartão;
R$ 64,25;01234;Av. Ipiranga, 1234;00035;18/05/2016 17:37;18/05/2016 18:57;Cartão;
R$ 65,75;01234;Av. Ipiranga, 1234;00036;18/05/2016 17:37;18/05/2016 18:37;Cartão;
R$ 68,25;01234;Av. Ipiranga, 1234;00037;18/05/2016 17:37;18/05/2016 19:17;Cartão;
R$ 71,25;01234;Av. Ipiranga, 1234;00038;18/05/2016 17:38;18/05/2016 19:38;Cartão;
R$ 73,75;01234;Av. Ipiranga, 1234;00039;18/05/2016 17:38;18/05/2016 19:18;Cartão;
